postal_code,building_name,location_description,latitude,longitude
139649,Fairfield Methodist Secondary School,Level 2 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.30163374395823,103.784099647149
148812,New Town Primary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate),1.29981138884057,103.799964819895
148812,New Town Primary School,Level 3 Multipurpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate),1.29981138884057,103.799964819895
68807,SGX Centre 2,Level 1 Fireman Lift Beside Loading Bay,1.3091316668874,103.891799999957
68804,SGX Centre 1,Level 1 Fireman Lift Beside Loading Bay,1.3091316668874,103.891799999957
329560,New Phoenix Park,Level 1 Security Checkpoint (Pass Office),1.32416755359114,103.845242743829
329560,New Phoenix Park,Level 1 Reception Counter (Podium),1.32416755359114,103.845242743829
329560,New Phoenix Park,Level 2 Canteen (Podium),1.32416755359114,103.845242743829
329560,New Phoenix Park,Level 3 Outside Gymnasium,1.32416755359114,103.845242743829
329560,New Phoenix Park,Level 10 Ministry Tower Lift Lobby,1.32416755359114,103.845242743829
329560,New Phoenix Park,Level 15 Ministry Tower Lift Lobby,1.32416755359114,103.845242743829
169629,"Four Points by Sheraton Singapore, Riverview","Level 5 Swimming Pool, Near Gym",1.28937099358897,103.836603810879
486001,Changi Business Bus Park Terminal,Changi Business Bus Park Terminal (Near Boarding Concourse),1.34173786448726,103.966707349954
520512,Tampines Bus Interchange,Near Passenger Service Office,1.35436743482952,103.943674728347
528730,Tampines Concourse Bus Interchange,Near Passenger Service Office,1.35732151686083,103.941751419825
539536,SBS Transit Hougang Depot,Level 1 Outside Eco Office,1.34603680504084,103.893252724096
569117,SBS Transit Bus Depot (Ang Mo Kio),Level 1 Canteen Area,1.38593638186528,103.847572787003
545077,Sengkang Bus Interchange,Near Passenger Service Office,1.39168782518022,103.896129776175
538757,Hougang Central Bus Interchange,Near Passenger Service Office,1.37089457370274,103.893157488293
327691,St Michael Bus Terminal,Near Passenger Service Office,1.32600536719916,103.855392094806
179103,Raffles City,Level B1 Fire Command Centre,1.29389357863312,103.853119904656
409388,Eunos Bus Interchange,Near Passenger Service Office,1.31934126205926,103.901891285083
465492,Bedok Integrated Transport Hub,Near Passenger Service Office,1.32473632784728,103.929256259998
489946,SBS Transit East District Bedok North Bus Park,Level 1 Outside MPH,1.33768022712481,103.947991019312
556138,Serangoon Bus Interchange,Next To Passenger Service Office,1.35076935257845,103.872296143862
570514,Bishan Bus Interchange,Near Buzz Shop,1.35011694205963,103.849763180442
567751,Ang Mo Kio Bus Interchange,Next To Passenger Service Office,1.36938922717717,103.848477965668
567728,Yio Chu Kang Bus Interchange,"Passenger Service Office, Near NTWU Canteen",1.38280883329554,103.844817568478
310530,Toa Payoh Bus Interchange,Next To Passenger Service Office,1.33216810552095,103.847086433041
139651,Singapore Polytechnic,"Level 3 AeroHub Block, Lift Lobby",1.30787792644497,103.7795746708
139651,Singapore Polytechnic,"Level 1 Sports Complex, Outside Toilet (SPXL1M3)",1.30787792644497,103.7795746708
139651,Singapore Polytechnic,"Level B1 Sports Arena, Opposite Squash Court",1.30787792644497,103.7795746708
139651,Singapore Polytechnic,"Level 3 Sports Arena, Entrance Of Sports Hall",1.30787792644497,103.7795746708
139651,Singapore Polytechnic,"Level 4 Sports Arena, Entrance Of Sports Hall",1.30787792644497,103.7795746708
139651,Singapore Polytechnic,"Level 1 School Of Media, Arts & Design Lift Lobby",1.30787792644497,103.7795746708
188966,InterContinental Singapore,Level 3 Gym,1.29846963655747,103.85486703715
278940,Buona Vista Bus Terminal,Inside Staff Office,1.30888211299307,103.792300992981
120441,Clementi Bus Interchange,Level 1 Beside Passenger Service Office,1.3149665228556,103.764270468137
900029,,Level 1 Inside Staff Lounge,,
279624,Ghim Moh Bus Terminal,Level 1 Outside Staff Lounge,1.31090601753044,103.789421705472
217664,CSC @ Tessensohn,Level 2 Multipurpose Hall,1.31574030114789,103.856184844047
738489,Evergreen Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.44149131273737,103.794137756171
738489,Evergreen Secondary School,Level 2 Inside Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.44149131273737,103.794137756171
738489,Evergreen Secondary School,Level 1 School Field Toilet (Available During Dual Use Scheme Operating Hours),1.44149131273737,103.794137756171
99115,HarbourFront Bus Interchange,Near Passenger Service Office,1.39200512922519,103.907127505181
168795,Kampong Bahru Bus Terminal,Level 1 Outside Passenger Service Office,1.27601983803865,103.83324666212
79121,Shenton Way Bus Terminal,Near Passenger Service Office,1.3091316668874,103.891799999957
228517,The Quincy Hotel,Level 12 Poolside,1.30775153415025,103.835748313572
229572,8 On Claymore,Level 4 Poolside (Approach Security Officer),1.3076349219986,103.832038066833
228220,Royal Plaza,Level 1 Porter Counter,1.30742235321643,103.832514203329
228220,Royal Plaza,Level 5 Swimming Pool (Approach Security Officer),1.30742235321643,103.832514203329
327804,Central Sikh Temple,Level 1 Dining Hall,1.31885262495926,103.860432032047
169541,Silat Road Sikh Temple,Level 1 Dining Hall,1.27694531475719,103.832348168938
409075,Kampong Ubi Community Centre,"Level 1 Lift Lobby, Facing Constituency Office",1.31784644102688,103.900750123561
900031,Sims Place Bus Terminal,Inside Staff Lounge,,
900032,Lorong 1 Geylang Bus Terminal,Inside SBS Transit Staff Lounge,,
900033,Queen Street Bus Terminal,Inside SBS Transit Staff Lounge,,
238867,Hilton Singapore Orchard,Level 37 Fitness Center,1.30206450556085,103.836340953476
900034,Changi Village Bus Terminal,Near Passenger Service Office,,
465549,Upper East Coast Bus Terminal,Near Passenger Service Office,1.31799740137556,103.952691674867
530142,,Level 1 Inside Renal Life Dialysis Centre (Approach Staff),1.35302664004115,103.882887594334
39807,Marina Centre Bus Terminal,Inside SBS Transit Staff Lounge,1.31395804806123,103.888995288316
648330,Boon Lay Bus Interchange,Level 1 Near Passenger Service Office (Berth 6),1.33931504059378,103.705350996191
659519,SBS Transit Bus Depot (Bukit Batok),Level 1 Staff Canteen,1.34010540746894,103.753248929133
628083,SBS Transit Bus Depot (Soon Lee),Level 2 Inside NTWU Canteen,1.33078597334322,103.6982752066
628083,SBS Transit Bus Depot (Soon Lee),Level 1 Inside Security Post,1.33078597334322,103.6982752066
638419,Tuas Bus Terminal,Level 3 Between Passenger Service Office 1 And 2,1.34157323790543,103.639357553532
629117,Fairprice Hub,Level 1 Beside Passenger Service Office,1.32561767765205,103.678409741897
159840,Bukit Merah Bus Interchange,Level 1 Beside Passenger Service Office,1.2820403214522,103.817210058118
597594,,Level 1 Guard House (Approach Security Officer),1.3165509201045,103.775401158619
238801,ION Orchard,Level B4 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level B3 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level B2 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level B1 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level 1 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level 2 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level 3 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level 4 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level 5 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level 6 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level 7 Lift A Lobby,1.30397974144505,103.832032328465
238801,ION Orchard,Level 8 Lift A Lobby,1.30397974144505,103.832032328465
78878,Icon Village,Level 1 Near Main Entrance (Along Gopeng Street),1.38777700231627,103.8367539114
88539,Amara Singapore,Level 1 FCC,1.3091316668874,103.891799999957
667979,HillV2,"Level 2 Outside Hillview Marketplace, Near Information Counter",1.36267450828024,103.76417292006
168732,Tiong Bahru Plaza,"Level 2 On Pillar, Near Daiso (#02-117)",1.28646345355064,103.826935079694
168730,Central Plaza,"Level 1 Tiong Bahru Plaza, Fire Command Centre (Approach Security For Assistance)",1.28629937187776,103.828093503404
18960,Asia Square Tower 1,Level 34 Engie Global Markets Office Entrance,1.3091316668874,103.891799999957
